trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
H2O_Summer_Mon-Fri_In2,7:00:00,7:00:00,ChathamRotary,6,0,0
H2O_Summer_Mon-Fri_In2,7:05:00,7:05:00,AnchorageChatham,7,0,0
H2O_Summer_Mon-Fri_In2,7:14:00,7:14:00,MortonSChatham,8,0,0
H2O_Summer_Mon-Fri_In2,7:19:00,7:19:00,28Harwich,9,0,0
H2O_Summer_Mon-Fri_In2,7:23:00,7:23:00,DennisMunicipal,11,0,0
H2O_Summer_Mon-Fri_In2,7:30:00,7:30:00,PatriotSq,12,0,0
H2O_Summer_Mon-Fri_In2,7:39:00,7:39:00,MainSYarmouth,13,0,0
H2O_Summer_Mon-Fri_In2,7:45:00,7:45:00,CrowellWYarmouth,16,0,0
H2O_Summer_Mon-Fri_In2,,,CCHospitalBayviewSt,17,2,3
H2O_Summer_Mon-Fri_In2,7:55:00,7:55:00,HTC,18,0,0
H2O_Summer_Mon-Fri_In3,7:30:00,7:30:00,S&SOrleans,1,0,0
H2O_Summer_Mon-Fri_In3,7:33:00,7:33:00,OldColonyVillage,2,0,0
H2O_Summer_Mon-Fri_In3,7:36:00,7:36:00,SkaketCorners,3,0,0
H2O_Summer_Mon-Fri_In3,7:38:00,7:38:00,MainOrleansCVSMobil,4,0,0
H2O_Summer_Mon-Fri_In3,7:45:00,7:45:00,39SOrleans,5,0,0
H2O_Summer_Mon-Fri_In3,8:00:00,8:00:00,ChathamRotary,6,0,0
H2O_Summer_Mon-Fri_In3,8:05:00,8:05:00,AnchorageChatham,7,0,0
H2O_Summer_Mon-Fri_In3,8:14:00,8:14:00,MortonSChatham,8,0,0
H2O_Summer_Mon-Fri_In3,8:19:00,8:19:00,28Harwich,9,0,0
H2O_Summer_Mon-Fri_In3,8:22:00,8:22:00,StarMarketHarwich,10,0,0
H2O_Summer_Mon-Fri_In3,8:27:00,8:27:00,DennisMunicipal,11,0,0
H2O_Summer_Mon-Fri_In3,8:37:00,8:37:00,PatriotSq,12,0,0
H2O_Summer_Mon-Fri_In3,8:43:00,8:43:00,MainSYarmouth,13,0,0
